query_id,answer
438,1909 4234 4396 4286 4308 3149 4403 1901 4328 4387
439,4440 2895 2894 4389 2896 2220 2171 4005 2663 4357
440,4219 2646 4214 4395 3026 4424 4532 4384 4389 4331
441,4219 2646 4440 3564 2721 4389 4308 3565 4361 4313
442,4395 4219 4214 4424 2646 3026 4235 4301 4389 2105
443,4219 4400 2865 1966 2646 2696 4387 4384 4234 2831
444,4451 4214 2698 2295 2922 4447 3314 4227 4290 4366
445,4286 4328 4234 3088 3689 3055 4396 4331 4219 1901
446,4423 4403 4364 4504 4384 1776 4234 2646 4407 4427
447,4387 4219 1958 4384 2646 4234 1966 1918 4516 4361
448,4400 4219 1966 2865 2831 4384 4403 4308 2646 4532
449,1958 4387 4219 4400 2646 4234 1966 3689 3055 4384
450,4400 2646 4219 2239 3533 2865 3257 4331 2195 1966
451,1951 4214 3467 4308 2232 2698 4320 3861 4301 4234
452,4219 4308 2646 4389 4384 3127 4395 2191 1966 4408
453,4440 4219 4384 4313 4218 4389 4310 3077 4525 4180
454,4445 4234 4451 4361 4219 3995 4209 2934 4400 2646
455,1951 4234 4361 4400 4214 4362 2698 3467 4532 4403
456,4361 4234 2521 4384 2922 4516 4517 4219 2295 2646
457,1951 4234 4308 2698 4214 4111 3467 2551 4320 4400
458,4320 4440 4317 1951 4321 4436 4433 4220 3861 4354
459,4423 4364 3028 2911 4220 2937 2909 4372 2917 4012
460,2646 4219 4400 4361 2865 4234 4384 1966 4308 4331
461,4214 4395 4219 4424 2646 2665 3026 4389 4301 2696
462,4234 4308 4408 2222 2196 4388 4167 4389 1909 1960
463,4384 4219 4509 2865 4361 3169 2646 1966 3567 4406
464,4332 4219 2865 2721 2646 4458 2043 4401 4384 2041
465,1966 4219 4387 2646 4408 4358 2865 4308 2511 4400
466,3859 4332 4214 2665 4329 4423 4364 4440 2706 4375
467,1951 2698 4214 4234 4387 4361 4308 2462 4532 4045
468,3781 4178 4445 4307 2794 4440 3536 2222 1961 4243
469,3786 2195 3864 2243 2220 2695 4389 2663 4440 2948
470,4400 4219 2865 4384 4532 1966 2831 2964 4387 2646
471,4234 3580 3741 4180 2095 4006 4310 4373 4204 4276
472,3993 2948 4134 3777 3786 2095 4315 4307 3580 4542
473,4384 4219 4440 1966 2646 4313 4400 4387 3552 4361
474,1951 4320 2220 2198 4214 2698 4234 4308 2232 3128
475,4440 2894 4389 4219 2865 4319 2886 4384 2288 2968
476,4440 2220 4389 4219 4373 4395 4222 4207 4350 4008
477,4440 2220 2663 4389 3151 2968 2886 4375 3595 3482
478,4219 2646 1966 2865 4384 3567 1958 4387 4508 4400
479,4234 4328 1909 1958 4403 3467 1918 1951 4396 4407
480,4219 4400 2696 2865 3078 1966 4384 3470 2646 4387
481,2948 2895 4440 2896 4524 4015 4017 3128 3864 4357
482,1951 4424 4395 4234 3660 1784 2646 4214 2698 2204
483,4328 4396 4286 2920 1837 2238 1909 3265 1907 4234
484,4219 1966 2646 4400 2865 4384 2696 4361 3470 3078
485,4400 4219 1966 4387 2865 2831 4308 4408 4403 4532
486,4308 4234 3007 4403 2698 4046 4214 2646 1951 1910
487,1909 4234 4328 4308 2521 2802 3168 3843 2944 1918
488,3467 1951 4133 4320 4153 3861 4050 4234 4250 4325
489,4214 1951 2698 2665 4234 4308 4219 4395 4209 4451
490,4219 2646 4384 4361 1966 4308 3149 2865 4234 4389
491,4219 4395 4424 2646 4214 4389 4222 4350 4384 2511
492,4219 4387 2646 4384 1966 1958 2865 4504 4389 4234
493,4287 3128 4440 3643 4266 2902 3525 2895 2894 3993
494,4214 2698 4234 4308 4111 4219 4451 2646 1951 4354
495,4423 4364 3786 4496 3747 2323 4012 4083 3054 3688
496,4234 1909 1958 4361 4396 4406 1966 2646 4308 4219
497,4395 2646 4219 4424 4214 4361 2295 4234 4389 2521
498,4219 2865 4400 4384 4361 4331 2646 4387 2831 4234
499,4214 2698 3995 2217 2155 4433 3775 4234 2665 4112
500,4234 4362 2196 4214 4400 3467 4451 1909 2698 4264
